tic_id,label,true_period,true_depth
1000001,noise,,
1000002,noise,,
1000003,planet,6.7786664100078875,0.018011546654279696
1000004,eclipse,5.327508722095009,0.045105380488334026
1000005,noise,,
1000006,harmonic_alias,5.327508722095009,0.013085789841350956
1000007,blend,4.613001150741136,0.08273656309011428
1000008,harmonic_alias,4.613001150741136,0.02400530204004498
1000009,blend,5.57122976788739,0.07677029803311718
1000010,false_positive,,
1000011,stellar_activity,,
1000012,stellar_activity,,
1000013,blend,2.638680255555727,0.11240608670788348
1000014,planet,5.173146974208967,0.01592703145970046
1000015,harmonic_alias,5.173146974208967,0.013339458398154078
1000016,planet,7.259925363481954,0.012112426773255549
1000017,stellar_activity,,
1000018,noise,,
1000019,noise,,
1000020,harmonic_alias,7.259925363481954,0.011927819243069985
