tic_id,label,subtype,source
150428135,planet,transit,TESS_confirmed
410153553,planet,transit,TESS_confirmed
38890006,planet,transit,TESS_confirmed
382862991,planet,transit,TESS_confirmed
219134,planet,transit,TESS_confirmed
307210830,planet,transit,TESS_confirmed
2733520,planet,transit,TESS_confirmed
2441619,planet,transit,TESS_confirmed
183120439,planet,transit,TESS_confirmed
217897806,planet,transit,TESS_confirmed
98796344,planet,transit,TESS_confirmed
149603524,not_planet,eclipse,known_EB
268301217,not_planet,eclipse,known_EB
155867025,not_planet,stellar_activity,known_variable
144065872,not_planet,blend,known_blend
281541555,not_planet,eclipse,known_EB
300843387,not_planet,stellar_activity,known_variable
167418143,not_planet,eclipse,known_EB
198008474,not_planet,stellar_activity,known_variable
33521996,not_planet,blend,known_blend
140691463,not_planet,eclipse,known_EB
